Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch in Druckwerk und Bogenführung;B1 Begründung;B2 Druckwerke, Bogeneinzug und Bahnführung als Kernbaugruppen;B2 Begründung;B3 Einsatz von Linear- und Antriebstechnik;B3 Begründung;B4 Ersatzteil- und Servicegeschäft;B4 Begründung;B5 Hohe Taktzahlen und Serienmaschinenbau;B5 Begründung;B6 Eigene Entwicklung und Konstruktion von Neumaschinen;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Qualitätssicherung und dokumentierte Prüfung;B8 Begründung
Baumann print finishing GmbH;https://www.baumannprint.com/;C;57;Bedingter Fit;kein Ausschlusskriterium;0 von 12 Kriterien mit A, 0 mit D, 10 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Automatisierungs- und Schneidsysteme fuer die Druckweiterverarbeitung.;Niedrig, nur wenige Seiten, 24 Prozent der Kriterien belegt;35606 Solms;Deutschland;Automatisierungs- und Schneidsysteme fuer die Druckweiterverarbeitung;k. A.;k. A.;Pütz Group, Saarburg;Websuche Baumann Maschinenbau Solms Insolvenz (print.de, bindereport);Website baumannprint.com: Baumann packing GmbH, Baumann print finishing GmbH, Oberbieler Str. 1-3, 35606 Solms.;nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Automatisierungs- und Schneidsysteme fuer die Druckweiterverarbeitung.;B;Sitz 35606 Solms, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.
ELS European Labelling System GmbH;https://www.els-gmbh.de/;C;57;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Etikettiermaschinen und Etikettierautomaten. Auf der Website 31 Fundstellen zu Kernbegriffen: Drucksystem (16), Etikettendruck (15).;Mittel, nur Website, 73 Prozent der Kriterien belegt;33824 Werther (Westf.);Deutschland;Etikettiermaschinen und Etikettierautomaten;k. A.;k. A.;;VDMA Mitgliederverzeichnis;"Website: Etikettierautomaten, Querbahn-Etikettierautomaten, Sondermaschinen und Codiersysteme; Impressum Dammstrasse 21, 33824 Werther/Westf.";nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Etikettiermaschinen und Etikettierautomaten. Auf der Website 31 Fundstellen zu Kernbegriffen: Drucksystem (16), Etikettendruck (15).;B;Sitz 33824 Werther (Westf.), Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;B;2 Begriffe mit 5 Fundstellen: Präzision (3), präzise (2).;C;Schwacher Beleg, nur Register (4) auf 7 Seiten.;C;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 11 Fundstellen auf 7 Seiten: Ersatzteil (6), Wartung (3), Verfügbarkeit (2).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;A;4 Begriffe mit 10 Fundstellen auf 7 Seiten: Konstruktion (3), Neuentwicklung (3), Innovation (3), Entwicklung (1).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;A;2 Begriffe mit 4 Fundstellen auf 7 Seiten: ISO 9001 (2), Zertifizierung (2).
Koenig & Bauer Coding GmbH;https://coding.koenig-bauer.com/de/;C;57;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Kennzeichnungssysteme, Continuous-Inkjet- und Lasersysteme. Auf der Website 29 Fundstellen zu Kernbegriffen: Inkjet (20), printing press (9).;Mittel, nur Website, 73 Prozent der Kriterien belegt;97209 Veitshöchheim;Deutschland;Kennzeichnungssysteme, Continuous-Inkjet- und Lasersysteme;k. A.;k. A.;Koenig & Bauer AG;Startliste;Website: Seit 1972 entwickelt Koenig & Bauer Coding Technologien fuer die industrielle Kennzeichnung und Markierung, die nach hohen Qualitaetsstandards entwickelt und gefertigt werden.;https://www.linkedin.com/company/10162379;B;Randbereich der Zielbranche laut Recherche: Kennzeichnungssysteme, Continuous-Inkjet- und Lasersysteme. Auf der Website 29 Fundstellen zu Kernbegriffen: Inkjet (20), printing press (9).;B;Sitz 97209 Veitshöchheim, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur präzise (3) auf 9 Seiten.;C;Schwacher Beleg, nur Register (3) auf 9 Seiten.;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 2 Fundstellen: Verschleißteil (1), Wartung (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;B;2 Begriffe mit 4 Fundstellen: Entwicklung (3), Innovation (1).;A;3 Begriffe mit 20 Fundstellen auf 9 Seiten: Einkauf (17), Einkaufsbedingungen (2), Beschaffung (1).;A;4 Begriffe mit 9 Fundstellen auf 9 Seiten: Zertifizierung (4), Qualitätsmanagement (2), ISO 9001 (2), zertifiziert (1).
MBO Postpress Solutions GmbH;https://www.mbo-pps.com/;C;56;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Falzmaschinen und Postpress-Automatisierung. Auf der Website 1 Fundstellen zu Kernbegriffen: Drucksystem (1).;Mittel, nur Website, 73 Prozent der Kriterien belegt;71570 Oppenweiler;Deutschland;Falzmaschinen und Postpress-Automatisierung;k. A.;k. A.;Komori Corporation (Japan);Startliste (MBO);"Website: MBO KOMORI Group, Falzmaschinen & Aggregate, Maschinenbau-Manufaktur mit Produktionsstandort Portugal; starke Wurzeln im Maschinenbau.";https://de.linkedin.com/company/mbopps;B;Randbereich der Zielbranche laut Recherche: Falzmaschinen und Postpress-Automatisierung. Auf der Website 1 Fundstellen zu Kernbegriffen: Drucksystem (1).;B;Sitz 71570 Oppenweiler, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Anleger (1) auf 9 Seiten.;C;Schwacher Beleg, nur Antriebstechnik (2) auf 9 Seiten.;A;4 Begriffe mit 27 Fundstellen auf 9 Seiten: Ersatzteil (19), Wartung (3), spare part (3), Instandhaltung (2).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;B;2 Begriffe mit 3 Fundstellen: Neuentwicklung (2), Innovation (1).;A;2 Begriffe mit 4 Fundstellen auf 9 Seiten: Purchasing (3), Einkauf (1).;A;2 Begriffe mit 3 Fundstellen auf 9 Seiten: Dokumentation (2), Qualitätskontrolle (1).
Kern AG;https://www.kernworld.com/de/;C;55;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 1 mit D. Randbereich der Zielbranche laut Recherche: Kuvertier- und Versandsysteme, Verpackungssysteme. Auf der Website 3 Fundstellen zu Kernbegriffen: Digitaldruck (3).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;3510 Konolfingen;Schweiz;Kuvertier- und Versandsysteme, Verpackungssysteme;500 (Recherche);128 (Recherche);Familienbesitz;Startliste;"Wikipedia: Schweizer Familienunternehmen, produziert Maschinen fuer die Dokumentenverarbeitung (Kuvertiersysteme); Website kernMail, kernPack.";https://www.linkedin.com/company/19088877;B;Randbereich der Zielbranche laut Recherche: Kuvertier- und Versandsysteme, Verpackungssysteme. Auf der Website 3 Fundstellen zu Kernbegriffen: Digitaldruck (3).;C;Sitz 3510 Konolfingen, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;C;500 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Kern_AG_(Maschinenbau) (Stand 2026)), unter dem ICP-Band 1.001 bis 10.000.;D;128 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Kern_AG_(Maschinenbau) (GJ 2007: 210 Mio. CHF, umgerechnet zum Jahresmittelkurs 2007 von 1,643 CHF/EUR)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 2 Fundstellen: Präzision (1), präzise (1).;B;2 Begriffe mit 4 Fundstellen: printing unit (3), Bogen (1).;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;6 Begriffe mit 13 Fundstellen auf 9 Seiten: Wartung (5), Verfügbarkeit (3), Ersatzteil (2), Instandhaltung (1).;B;2 Begriffe mit 2 Fundstellen: Hochleistung (1), Leistungsklasse (1).;A;3 Begriffe mit 18 Fundstellen auf 9 Seiten: Innovation (10), Entwicklung (5), Konstrukteur (3).;A;3 Begriffe mit 31 Fundstellen auf 9 Seiten: Einkauf (15), Einkaufsbedingungen (15), Lieferant (1).;B;1 Begriffe mit 3 Fundstellen: Dokumentation (3).
Koenig & Bauer MetalPrint GmbH;https://metalprint.koenig-bauer.com/de/;C;55;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Blechdruckmaschinen und Lackieranlagen fuer Metallverpackung. Auf der Website 19 Fundstellen zu Kernbegriffen: Druckmaschine (19).;Mittel, nur Website, 73 Prozent der Kriterien belegt;70435 Stuttgart;Deutschland;Blechdruckmaschinen und Lackieranlagen fuer Metallverpackung;k. A.;k. A.;Koenig & Bauer AG;"chemie.de Herstellerliste Druckmaschinen; Konzernstruktur";"Website: Produkte Drucken Offset Blechdruckmaschinen; Impressum Koenig & Bauer MetalPrint GmbH, Stuttgart.";https://www.linkedin.com/company/koenig-bauer-metalprint;A;Kernprodukt laut Recherche: Blechdruckmaschinen und Lackieranlagen fuer Metallverpackung. Auf der Website 19 Fundstellen zu Kernbegriffen: Druckmaschine (19).;B;Sitz 70435 Stuttgart, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Register (2) auf 8 Seiten.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 26 Fundstellen auf 8 Seiten: Ersatzteil (13), Wartung (10), Verfügbarkeit (3).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;B;2 Begriffe mit 3 Fundstellen: Innovation (2), Entwicklung (1).;B;1 Begriffe mit 9 Fundstellen: Lieferant (9).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Gallus Ferd. Rüesch AG;https://www.gallus-group.com/de/index.jsp;C;54;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 3 mit D. Kernprodukt laut Recherche: Schmalbahn-Etikettendruckmaschinen, konventionell, hybrid und digital. Auf der Website 225 Fundstellen zu Kernbegriffen: Siebdruck (115), Etikettendruck (45), Druckwerk (24), Druckmaschine (16).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;9016 St. Gallen;Schweiz;Schmalbahn-Etikettendruckmaschinen, konventionell, hybrid und digital;300 (Recherche);60 (abgeleitet);Heidelberger Druckmaschinen AG;"Startliste; Websuche Etikettendruckmaschinen Hersteller";"Website: Gallus beschaeftigt rund 300 Mitarbeiter, 165 davon am Hauptsitz in St. Gallen; Portfolio digitaler, hybrider und konventioneller Etiketten- und Verpackungsdruck.";https://ch.linkedin.com/company/gallus-group;A;Kernprodukt laut Recherche: Schmalbahn-Etikettendruckmaschinen, konventionell, hybrid und digital. Auf der Website 225 Fundstellen zu Kernbegriffen: Siebdruck (115), Etikettendruck (45), Druckwerk (24), Druckmaschine (16).;C;Sitz 9016 St. Gallen, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;D;300 Mitarbeiter (Recherche, Gruppe: https://www.gallus-group.com/de/ueber-gallus/ueber-die-gallus-gruppe/index.jsp (2026)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;60 Mio. EUR (aus 300 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;1 Begriffe mit 6 Fundstellen: Präzision (6).;A;1 Begriffe mit 24 Fundstellen auf 8 Seiten: Druckwerk (24).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 8 Fundstellen auf 8 Seiten: Ersatzteil (2), Originalteil (2), Wartung (2), Verfügbarkeit (2).;A;2 Begriffe mit 27 Fundstellen auf 8 Seiten: m/min (15), Produktionsgeschwindigkeit (12).;A;3 Begriffe mit 5 Fundstellen auf 8 Seiten: Entwicklung (2), R&D (2), Innovation (1).;B;1 Begriffe mit 2 Fundstellen: Einkauf (2).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Kolbus Group GmbH;https://kolbus.com/;C;54;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 3 mit D. Kernprodukt laut Recherche: Flexodruck-Rotationsstanzen fuer Wellpappe, Boxmaker, Buchdeckenmaschinen.;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;32369 Rahden;Deutschland;Flexodruck-Rotationsstanzen fuer Wellpappe, Boxmaker, Buchdeckenmaschinen;340 (Recherche);60 (Recherche);Max Valier Holding;"Startliste; Websuche Wellpappe Druckmaschinen";Website kolbus.com: Wellpappe Flexodruck Rotationsstanze RD 115S (Servo) und RD 115G (Hybrid), Boxmaker BX Motion Pro.;https://www.linkedin.com/company/kolbus-gmbh-&-co.-kg;A;Kernprodukt laut Recherche: Flexodruck-Rotationsstanzen fuer Wellpappe, Boxmaker, Buchdeckenmaschinen.;B;Sitz 32369 Rahden, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;340 Mitarbeiter (Recherche, Gesellschaft: https://de.wikipedia.org/wiki/Kolbus (Stand 2025)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;60 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Kolbus (GJ 2020)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;C;Schwacher Beleg, nur precision (2) auf 9 Seiten.;B;2 Begriffe mit 2 Fundstellen: Register (1), printing unit (1).;B;2 Begriffe mit 4 Fundstellen: servo drive (2), drive technology (2).;A;3 Begriffe mit 20 Fundstellen auf 9 Seiten: spare part (14), maintenance (4), service part (2).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;2 Begriffe mit 30 Fundstellen auf 9 Seiten: engineering (26), Innovation (4).;A;4 Begriffe mit 17 Fundstellen auf 9 Seiten: Procurement (13), Purchasing (2), Supplier (1), Supply Chain (1).;B;1 Begriffe mit 1 Fundstellen: quality assurance (1).
WILHELM BAHMÜLLER Maschinenbau Präzisionswerkzeuge GmbH;https://www.bahmueller.de/de;C;54;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 3 mit D. Randbereich der Zielbranche laut Recherche: Faltschachtel-Klebemaschinen fuer Wellpappe (Specialty Folder Gluer). Auf der Website 77 Fundstellen zu Kernbegriffen: Wellpappe (76), Flexodruck (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;73655 Plüderhausen;Deutschland;Faltschachtel-Klebemaschinen fuer Wellpappe (Specialty Folder Gluer);400 (Recherche);93 (Recherche);Familienbesitz;Websuche Wellpappe Verarbeitung Hersteller;"Website: Wellpappenverarbeitung, mit 80 Jahren Know-how entwickelt BAHMUELLER Premium-Loesungen (Faltschachtelklebemaschinen); Sitz Wilhelm-Bahmueller-Strasse 34, Pluederhausen.";https://de.linkedin.com/company/bahmueller;B;Randbereich der Zielbranche laut Recherche: Faltschachtel-Klebemaschinen fuer Wellpappe (Specialty Folder Gluer). Auf der Website 77 Fundstellen zu Kernbegriffen: Wellpappe (76), Flexodruck (1).;B;Sitz 73655 Plüderhausen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;400 Mitarbeiter (Recherche, Gruppe: https://www.bahmueller.de/de/unternehmen/profil (Stand 2022: rund 400 Mitarbeiter weltweit)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;93 Mio. EUR (Recherche: https://www.bahmueller.de/de/unternehmen/profil (Stand 2022: Jahresgesamtumsatz von rund 93 Mio. Euro)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;A;3 Begriffe mit 26 Fundstellen auf 9 Seiten: Präzision (13), präzise (10), precision (3).;B;2 Begriffe mit 3 Fundstellen: Register (2), Rotation (1).;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 43 Fundstellen auf 9 Seiten: Wartung (21), Ersatzteil (20), Verfügbarkeit (2).;A;3 Begriffe mit 23 Fundstellen auf 9 Seiten: Großserie (12), Serienproduktion (9), Hochleistung (2).;A;3 Begriffe mit 49 Fundstellen auf 9 Seiten: Innovation (25), Konstruktion (18), Entwicklung (6).;A;4 Begriffe mit 21 Fundstellen auf 9 Seiten: Einkauf (9), Einkaufsbedingungen (9), Lieferant (2), Verhaltenskodex (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.
Aeoon Technologies GmbH;https://aeoon.com/;C;53;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Industrielle Digitaldrucksysteme fuer Textilien (DTG). Auf der Website 7 Fundstellen zu Kernbegriffen: printing system (6), printing machine (1).;Mittel, nur Website, 73 Prozent der Kriterien belegt;6233 Kramsach;Österreich;Industrielle Digitaldrucksysteme fuer Textilien (DTG);k. A.;k. A.;;industrystock Textildruckmaschinen;"Website: aeoon develops and manufactures industrial digital printing systems for textile and specialty applications; gegruendet 2011 in Kramsach.";nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Industrielle Digitaldrucksysteme fuer Textilien (DTG). Auf der Website 7 Fundstellen zu Kernbegriffen: printing system (6), printing machine (1).;C;Sitz 6233 Kramsach, Österreich, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur precision (1) auf 5 Seiten.;B;2 Begriffe mit 3 Fundstellen: printing unit (2), Register (1).;C;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.;A;2 Begriffe mit 15 Fundstellen auf 5 Seiten: engineering (9), Innovation (6).;B;1 Begriffe mit 1 Fundstellen: Supply Chain (1).;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.
THIEME GmbH & Co. KG;https://www.thieme-products.com/de-de;C;53;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 2 mit D. Kernprodukt laut Recherche: Siebdruck- und Digitaldruckmaschinen fuer industrielle Anwendungen. Auf der Website 269 Fundstellen zu Kernbegriffen: Drucksystem (88), Druckmaschine (64), Siebdruck (54), Digitaldruck (47).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;79331 Teningen;Deutschland;Siebdruck- und Digitaldruckmaschinen fuer industrielle Anwendungen;350 (Recherche);70 (abgeleitet);Familienbesitz (Frank Thieme);"Startliste; Websuche Siebdruckmaschinen Hersteller";"Website: Hersteller von hochwertigen Siebdruck- und Digitaldruckmaschinen; Werke Rohrlache und Breitigen in Teningen.";https://de.linkedin.com/company/thieme-drucksysteme-kunststoffe;A;Kernprodukt laut Recherche: Siebdruck- und Digitaldruckmaschinen fuer industrielle Anwendungen. Auf der Website 269 Fundstellen zu Kernbegriffen: Drucksystem (88), Druckmaschine (64), Siebdruck (54), Digitaldruck (47).;B;Sitz 79331 Teningen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;350 Mitarbeiter (Recherche, Gruppe: https://www.thieme-products.com/de-de/unternehmen (2026: Ueber 350 Mitarbeiterinnen und Mitarbeiter an vier Standorten)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;70 Mio. EUR (aus 350 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 7 Fundstellen: präzise (6), Präzision (1).;B;2 Begriffe mit 8 Fundstellen: Rotation (5), Register (3).;C;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur Wartung (1) auf 10 Seiten.;C;Schwacher Beleg, nur Hochleistung (1) auf 10 Seiten.;A;4 Begriffe mit 21 Fundstellen auf 10 Seiten: Entwicklung (14), Innovation (5), Konstruktion (1), R&D (1).;A;2 Begriffe mit 22 Fundstellen auf 10 Seiten: Zulieferer (12), Einkauf (10).;A;6 Begriffe mit 32 Fundstellen auf 10 Seiten: Qualitätsmanagement (22), zertifiziert (3), Zertifizierung (3), ISO 9001 (2).
Bograma AG;https://www.bograma.ch/;C;52;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Rotative Stanzmaschinen fuer die Druckweiterverarbeitung.;Mittel, nur Website, 73 Prozent der Kriterien belegt;9606 Bütschwil;Schweiz;Rotative Stanzmaschinen fuer die Druckweiterverarbeitung;k. A.;k. A.;;Startliste;Website: Maschinenprogramm rotatives Stanzen BSR 550/750 mit Anlegern, Spielkarten- und Faltschachtelproduktionsanlagen.;https://www.linkedin.com/company/bograma-ag;B;Randbereich der Zielbranche laut Recherche: Rotative Stanzmaschinen fuer die Druckweiterverarbeitung.;C;Sitz 9606 Bütschwil, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;A;3 Begriffe mit 13 Fundstellen auf 6 Seiten: Bogenanleger (6), Bogen (6), Register (1).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;1 Begriffe mit 6 Fundstellen: Ersatzteil (6).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;A;3 Begriffe mit 6 Fundstellen auf 6 Seiten: Entwicklung (2), Konstruktion (2), Konstrukteur (2).;B;1 Begriffe mit 4 Fundstellen: Einkauf (4).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.
HELL Gravure Systems GmbH & Co. KG;https://www.hell-gravure-systems.com/;C;52;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Graviersysteme und Laser fuer Tiefdruckzylinder (Druckvorstufe). Auf der Website 19 Fundstellen zu Kernbegriffen: Tiefdruck (17), Flexodruck (1), Verpackungsdruck (1).;Mittel, nur Website, 73 Prozent der Kriterien belegt;24222 Schwentinental;Deutschland;Graviersysteme und Laser fuer Tiefdruckzylinder (Druckvorstufe);k. A.;k. A.;Heliograph Holding GmbH;Websuche Tiefdruck Druckvorstufe;"Website/Impressum: HELL Gravure Systems GmbH & Co. KG, Dreikronen 1, 24222 Schwentinental; Graviersysteme fuer den Tiefdruck, Teil der Heliograph Holding.";https://www.linkedin.com/company/hell-gravure-systems;B;Randbereich der Zielbranche laut Recherche: Graviersysteme und Laser fuer Tiefdruckzylinder (Druckvorstufe). Auf der Website 19 Fundstellen zu Kernbegriffen: Tiefdruck (17), Flexodruck (1), Verpackungsdruck (1).;B;Sitz 24222 Schwentinental, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;B;2 Begriffe mit 5 Fundstellen: Präzision (3), Toleranz (2).;C;Schwacher Beleg, nur Register (3) auf 6 Seiten.;C;Schwacher Beleg, nur Linearantrieb (3) auf 6 Seiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Hochleistung (2) auf 6 Seiten.;A;3 Begriffe mit 16 Fundstellen auf 6 Seiten: Innovation (10), Entwicklung (5), Forschung und Entwicklung (1).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;A;2 Begriffe mit 16 Fundstellen auf 6 Seiten: certified (14), Qualitätskontrolle (2).
