Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch bei Kernbauteilen;B1 Begründung;B2 Eigene Fertigung von Kernbauteilen;B2 Begründung;B3 Elektrische Antriebe und Kugelgewindetriebe in den Maschinen;B3 Begründung;B4 Produktivität, Rüst- und Nebenzeiten;B4 Begründung;B5 Energieeffizienz;B5 Begründung;B6 Qualität und Ausschussreduktion;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Entwicklung und Konstruktion im Haus;B8 Begründung
ZAHORANSKY AG;https://www.zahoransky.com/de;D;50;Schlechter Fit;Insolvenz oder Liquidation laut Website;Ausschluss: Insolvenz oder Liquidation laut Website. Im Raster 5 mal A und 2 mal D.;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;79674 Todtnau-Geschwend;Deutschland;Spritzgießwerkzeuge, Spritzgieß-Fertigungszellen, Bürstenmaschinen, Verpackungsanlagen;690 (Recherche);93 (Recherche);Familienbesitz (Familie Zahoransky);Startliste;Unternehmensseite: Heute entwickeln und produzieren wir Präzisionstechnologie für unterschiedliche Hightech-Industrien an unseren vier Produktionsstandorten, mit über 10.000 installierten Maschinen, Anlagen und Spritzgussformen bei über 4.000 Kunden (https://www.zahoransky.com/de/unternehmen);https://www.linkedin.com/company/zahoransky-group;B;Randbereich der Zielbranche laut Recherche: Spritzgießwerkzeuge, Spritzgieß-Fertigungszellen, Bürstenmaschinen, Verpackungsanlagen. Auf der Website 2 Fundstellen zu Kernbegriffen: Spritzgießtechnik (1), Spritzgießen (1).;B;Sitz 79674 Todtnau-Geschwend, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;C;690 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Zahoransky (Stand 2025: rund 690 Mitarbeiter der Zahoransky Group, Beleg zahoransky.com/de/unternehmen)), unter dem ICP-Band 1.001 bis 10.000.;D;93 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Zahoransky (Geschäftsjahr 2023: 92,7 Mio. Euro, Quelle Unternehmensregister)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;3 Begriffe mit 6 Fundstellen auf 8 Seiten: Präzision (4), präzise (1), Genauigkeit (1).;A;7 Begriffe mit 21 Fundstellen auf 8 Seiten: Montage (8), CNC (3), Drehen (3), Produktionsstandort (3).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 2 Fundstellen: Produktivität (1), Maschinenverfügbarkeit (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;2 Begriffe mit 4 Fundstellen auf 8 Seiten: Qualitätssicherung (2), Qualitätsmanagement (2).;A;4 Begriffe mit 59 Fundstellen auf 8 Seiten: Lieferant (31), Einkauf (16), Einkaufsbedingungen (11), Beschaffung (1).;A;6 Begriffe mit 33 Fundstellen auf 8 Seiten: Entwicklung (11), Konstruktion (10), engineering (8), Konstrukteur (2).
DESMA Schuhmaschinen GmbH;https://www.desma.de/de/;D;48;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D. Kernprodukt laut Recherche: Rundtisch-Spritzgießanlagen für Schuhsohlen, Mikrospritzgießmaschinen (DESMA TEC). Auf der Website 5 Fundstellen zu Kernbegriffen: Schließeinheit (4), Spritzgießmaschine (1). Hinweis: 2025 von der Salzgitter AG an die deutsch-französische Industriegruppe NAME & MAWI Partners S.A.S. verkauft, operativ aktiv;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;28832 Achim;Deutschland;Rundtisch-Spritzgießanlagen für Schuhsohlen, Mikrospritzgießmaschinen (DESMA TEC);220 (Recherche);46 (Recherche);NAME & MAWI Partners S.A.S. (seit 2025, zuvor Salzgitter AG);VDMA, Startliste;Die Website beschreibt Produktionssysteme für Schuhhersteller weltweit (Direct Soling, Rundtischanlagen), Impressum nennt DESMA Schuhmaschinen GmbH, Desmastrasse 1, 28832 Achim (https://www.desma.de/en/legal-notice/);https://www.linkedin.com/company/37006312;A;Kernprodukt laut Recherche: Rundtisch-Spritzgießanlagen für Schuhsohlen, Mikrospritzgießmaschinen (DESMA TEC). Auf der Website 5 Fundstellen zu Kernbegriffen: Schließeinheit (4), Spritzgießmaschine (1).;B;Sitz 28832 Achim, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;220 Mitarbeiter (Recherche, Gesellschaft: https://de.wikipedia.org/wiki/Desma_Schuhmaschinen (Stand 2025)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;46 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Desma_Schuhmaschinen (Geschäftsjahr 2022)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;B;2 Begriffe mit 3 Fundstellen: präzise (2), Präzision (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur Produktivität (1) auf 9 Seiten.;B;2 Begriffe mit 5 Fundstellen: Nachhaltigkeit (4), Energieeffizien (1).;B;1 Begriffe mit 1 Fundstellen: Ausschuss (1).;B;1 Begriffe mit 1 Fundstellen: Lieferant (1).;A;4 Begriffe mit 13 Fundstellen auf 9 Seiten: Innovation (8), engineering (3), Entwicklung (1), Forschung und Entwicklung (1).
NEXUS Elastomer Systems GmbH;https://www.nexus-elastomer.com/;D;47;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 4 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: LSR-Dosieranlagen und Dosiertechnik für Silikonspritzguss. Auf der Website 44 Fundstellen zu Kernbegriffen: LSR (26), Elastomer (14), injection moulding (2), Silikon (2).;Mittel, nur Website, 74 Prozent der Kriterien belegt;4551 Ried im Traunkreis;Österreich;LSR-Dosieranlagen und Dosiertechnik für Silikonspritzguss;k. A.;k. A.;Innovant GmbH;Startliste;Die Website positioniert die LSR-Dosieranlagen (unter anderem SPLITNEX zur automatischen Entfernung von Luftblasen) als die effizientesten Dosieranlagen weltweit, https://www.nexus-elastomer.com/;https://www.linkedin.com/company/nexus-automation-gmbh;B;Randbereich der Zielbranche laut Recherche: LSR-Dosieranlagen und Dosiertechnik für Silikonspritzguss. Auf der Website 44 Fundstellen zu Kernbegriffen: LSR (26), Elastomer (14), injection moulding (2), Silikon (2).;A;Sitz 4551 Ried im Traunkreis, Österreich, im Zielland Österreich.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 9 Fundstellen: cycle time (8), Zykluszeit (1).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;A;2 Begriffe mit 9 Fundstellen auf 6 Seiten: Einkauf (6), Lieferant (3).;B;2 Begriffe mit 4 Fundstellen: Innovation (3), Entwicklung (1).
Dr. Boy GmbH & Co. KG;https://www.dr-boy.de/de/;D;46;Schlechter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 4 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen bis 1.250 kN, Mikrospritzguss. Auf der Website 50 Fundstellen zu Kernbegriffen: Spritzgiessmaschine (29), Spritzgießmaschine (15), Spritzguss (5), Schließkraft (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;53577 Neustadt-Fernthal;Deutschland;Spritzgießmaschinen bis 1.250 kN, Mikrospritzguss;164 (Recherche);33 (abgeleitet);Schiffer GmbH (Familie Schiffer);KunststoffWeb Produktliste Spritzgießmaschinen, chemie.de, Startliste;Die Website nennt das eigene Maschinenprogramm: Spritzgießmaschinen mit Schließkräften bis 1.250 kN sowie Handlingsysteme, Mikrospritzguss unter 1 mg und Reinraumtechnik (https://www.dr-boy.de/de/unternehmen).;nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Spritzgießmaschinen bis 1.250 kN, Mikrospritzguss. Auf der Website 50 Fundstellen zu Kernbegriffen: Spritzgiessmaschine (29), Spritzgießmaschine (15), Spritzguss (5), Schließkraft (1).;B;Sitz 53577 Neustadt-Fernthal, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;164 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/dr-boy-spritzguss.html (Abruf 2026, Angabe: 164 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;33 Mio. EUR (aus 164 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;B;2 Begriffe mit 4 Fundstellen: präzise (2), precision (2).;D;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Servomotor (2) auf 10 Seiten.;C;Schwacher Beleg, nur Maschinenverfügbarkeit (1) auf 10 Seiten.;A;4 Begriffe mit 27 Fundstellen auf 10 Seiten: Nachhaltigkeit (21), Energieeffizien (3), energieeffizient (2), Energieverbrauch (1).;D;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden.;B;1 Begriffe mit 2 Fundstellen: Supplier (2).;A;3 Begriffe mit 16 Fundstellen auf 10 Seiten: engineering (8), Innovation (6), Entwicklung (2).
ENGEL Deutschland GmbH;https://www.engelglobal.com/;D;45;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb und Service Deutschland. Auf der Website 39 Fundstellen zu Kernbegriffen: Schließkraft (15), Spritzeinheit (9), clamping force (5), Spritzgießmaschine (4).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;90451 Nürnberg;Deutschland;Spritzgießmaschinen, Vertrieb und Service Deutschland;241 (Recherche);48 (abgeleitet);ENGEL Holding GmbH (Österreich);KunststoffWeb Produktliste, wer-zu-wem, VDMA;Der Firmeneintrag weist die Engel Deutschland GmbH, Donaustr. 83, 90451 Nürnberg, als Maschinenbauer im Eigentum der Engel Holding (Österreich) aus (https://www.wer-zu-wem.de/firma/engel-kunststoff.html).;https://de.linkedin.com/company/engel-global;A;Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb und Service Deutschland. Auf der Website 39 Fundstellen zu Kernbegriffen: Schließkraft (15), Spritzeinheit (9), clamping force (5), Spritzgießmaschine (4).;B;Sitz 90451 Nürnberg, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;241 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/engel-kunststoff.html (Abruf 2026, Angabe: 241 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;48 Mio. EUR (aus 241 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;C;Schwacher Beleg, nur präzise (2) auf 4 Seiten.;C;Schwacher Beleg, nur Montage (2) auf 4 Seiten.;C;Schwacher Beleg, nur hybrid (2) auf 4 Seiten.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;B;1 Begriffe mit 7 Fundstellen: Nachhaltigkeit (7).;B;1 Begriffe mit 3 Fundstellen: Qualitätsmanagement (3).;A;4 Begriffe mit 17 Fundstellen auf 4 Seiten: Lieferant (8), Einkauf (3), Lieferantenportal (3), Purchasing (3).;B;2 Begriffe mit 6 Fundstellen: Innovation (4), Konstruktion (2).
technotrans solutions GmbH (bis 2021 gwk Gesellschaft Wärme Kältetechnik mbH);https://www.technotrans.com/home;D;45;Schlechter Fit;kein Ausschlusskriterium;0 von 12 Kriterien mit A, 4 mit D. Randbereich der Zielbranche laut Recherche: Temperiergeräte, Kühlanlagen, Temperiersysteme für die Kunststoffverarbeitung. Auf der Website 8 Fundstellen zu Kernbegriffen: injection moulding (8). Hinweis: Die gwk Gesellschaft Wärme Kältetechnik mbH wurde laut northdata.de am 24.09.2021 in technotrans solutions GmbH umfirmiert (HRB 3266, Amtsgericht Iserlohn, Sitz Scherl 10, Meinerzhagen), Gesellschafterin ist die technotrans SE. Die Marke gwk ist in der technotrans-Dachmarke aufgegangen, gwk.com leitet auf technotrans.com weiter. Die technotrans-Gruppe erzielte 2024 einen Umsatz von 238,1 Mio. EUR (Gruppenzahl, nicht die der GmbH).;Mittel, nur Website, 100 Prozent der Kriterien belegt;58540 Meinerzhagen;Deutschland;Temperiergeräte, Kühlanlagen, Temperiersysteme für die Kunststoffverarbeitung;1.443 (Website);260 (Website);technotrans SE, Sassenberg (börsennotiert);Ergänzung Rechercheur;"Plastics-Seite: Cooling and temperature control systems for a wide temperature range of -80 to +430 Grad C, which is unique in the plastics industry (https://www.technotrans.com/markets/plastics); Meinerzhagen ist Produktionsstandort der Gruppe (https://www.technotrans.com/company/group-structure)";https://de.linkedin.com/company/technotrans-se;B;Randbereich der Zielbranche laut Recherche: Temperiergeräte, Kühlanlagen, Temperiersysteme für die Kunststoffverarbeitung. Auf der Website 8 Fundstellen zu Kernbegriffen: injection moulding (8).;B;Sitz 58540 Meinerzhagen, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;B;1.443 Mitarbeiter (Eigendarstellung auf der Website), im ICP-Band, aber nur per Eigendarstellung belegt 1.001 bis 10.000.;D;260 Mio. EUR (Eigendarstellung auf der Website), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;B;2 Begriffe mit 5 Fundstellen: precision (3), accuracy (2).;D;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur energy efficien (1) auf 10 Seiten.;D;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden.;B;1 Begriffe mit 1 Fundstellen: Supplier (1).;B;2 Begriffe mit 7 Fundstellen: Innovation (6), engineering (1).
Milacron Mold-Masters Europa GmbH;https://www.moldmasters.com/;D;44;Schlechter Fit;kein Ausschlusskriterium;0 von 12 Kriterien mit A, 4 mit D. Randbereich der Zielbranche laut Recherche: Heißkanalsysteme und Regelgeräte für Spritzgießwerkzeuge. Auf der Website 13 Fundstellen zu Kernbegriffen: LSR (9), injection moulding (4).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;76532 Baden-Baden;Deutschland;Heißkanalsysteme und Regelgeräte für Spritzgießwerkzeuge;190 (Recherche);38 (abgeleitet);Milacron (Bain Capital, USA);Fakuma 2026 Ausstellerliste, Produktgruppe Spritzgießmaschinen;Mold-Masters Europa entwickelt und fertigt Heißkanalsysteme, Regelgeräte und Steuerungen für Spritzgießwerkzeuge (https://www.moldmasters.com).;https://www.linkedin.com/company/mold-masters-limited;B;Randbereich der Zielbranche laut Recherche: Heißkanalsysteme und Regelgeräte für Spritzgießwerkzeuge. Auf der Website 13 Fundstellen zu Kernbegriffen: LSR (9), injection moulding (4).;B;Sitz 76532 Baden-Baden, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;190 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/mold-masters.html (Abruf 2026, Angabe: 190 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;38 Mio. EUR (aus 190 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;B;2 Begriffe mit 5 Fundstellen: precision (4), tolerance (1).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;B;1 Begriffe mit 7 Fundstellen: toggle (7).;B;1 Begriffe mit 5 Fundstellen: productivity (5).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;B;1 Begriffe mit 1 Fundstellen: ISO 9001 (1).;B;1 Begriffe mit 1 Fundstellen: Supplier (1).;B;2 Begriffe mit 5 Fundstellen: Patent (3), Innovation (2).
Wickert Maschinenbau GmbH;https://www.wickert-presstech.de/de/;D;44;Schlechter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 5 mit D. Kernprodukt laut Recherche: Pressen und Spritzgießmaschinen für Elastomere und Composites. Auf der Website 3 Fundstellen zu Kernbegriffen: Elastomer (3).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;76829 Landau in der Pfalz;Deutschland;Pressen und Spritzgießmaschinen für Elastomere und Composites;144 (Recherche);29 (abgeleitet);;VDMA Mitgliederliste, KunststoffWeb, Startliste;Wickert stellt hydraulische Pressen und Spritzgießmaschinen für Gummi, Kunststoffe, Composites und Pulver her (https://www.wickert-presstech.de/de/unternehmen).;https://www.linkedin.com/company/wickert-maschinenbau-gmbh;A;Kernprodukt laut Recherche: Pressen und Spritzgießmaschinen für Elastomere und Composites. Auf der Website 3 Fundstellen zu Kernbegriffen: Elastomer (3).;B;Sitz 76829 Landau in der Pfalz, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;144 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/wickert.html (Abruf 2026, Angabe: 144 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;29 Mio. EUR (aus 144 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;2 Begriffe mit 17 Fundstellen auf 8 Seiten: Präzision (10), präzise (7).;C;Schwacher Beleg, nur Montage (4) auf 8 Seiten.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 3 Fundstellen: Maschinenverfügbarkeit (2), Zykluszeit (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;4 Begriffe mit 14 Fundstellen auf 8 Seiten: Innovation (9), Entwicklung (3), Konstruktion (1), engineering (1).
Sodick Deutschland GmbH;https://sodick.de/;D;42;Schlechter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 6 mit D. Kernprodukt laut Recherche: Erodiermaschinen, Spritzgießmaschinen V-LINE, Fräsmaschinen. Auf der Website 18 Fundstellen zu Kernbegriffen: Spritzgussmaschine (18).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;40472 Düsseldorf;Deutschland;Erodiermaschinen, Spritzgießmaschinen V-LINE, Fräsmaschinen;24 (Recherche);5 (abgeleitet);Sodick Co., Ltd. (Japan);Startliste, Websuche;Sodick Deutschland zeigt im Düsseldorfer Technologiezentrum Kunststoff-Spritzgießmaschinen und Fräsmaschinen des japanischen Mutterkonzerns (https://sodick.de/about-sodick/sodick-europa-hauptsitz).;https://www.linkedin.com/company/sodick-deutschland-gmbh;A;Kernprodukt laut Recherche: Erodiermaschinen, Spritzgießmaschinen V-LINE, Fräsmaschinen. Auf der Website 18 Fundstellen zu Kernbegriffen: Spritzgussmaschine (18).;B;Sitz 40472 Düsseldorf, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;24 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/sodick.html (Abruf 2026, Angabe: 24 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;4,8 Mio. EUR (aus 24 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;2 Begriffe mit 12 Fundstellen auf 8 Seiten: Präzision (11), Genauigkeit (1).;A;2 Begriffe mit 20 Fundstellen auf 8 Seiten: Fräsen (19), Schleifen (1).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;B;2 Begriffe mit 2 Fundstellen: Entwicklung (1), Innovation (1).
NOVAPAX Maschinenbau GmbH & Co. KG;https://www.novapax.net/;D;41;Schlechter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 5 mit D. Randbereich der Zielbranche laut Recherche: Spritzblasmaschinen für Kunststoff-Hohlkörper. Auf der Website 20 Fundstellen zu Kernbegriffen: Schließkraft (20).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;26789 Leer;Deutschland;Spritzblasmaschinen für Kunststoff-Hohlkörper;130 (Recherche);26 (abgeleitet);;wer-zu-wem Firmenprofil;Novapax entwickelt und baut Spritzblasmaschinen für die Herstellung von Kunststoff-Hohlkörpern und entwickelte 1964 die erste vollhydraulische Spritzgießmaschine des Hauses (https://www.novapax.net/).;nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Spritzblasmaschinen für Kunststoff-Hohlkörper. Auf der Website 20 Fundstellen zu Kernbegriffen: Schließkraft (20).;B;Sitz 26789 Leer, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;130 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/novapax-maschinen.html (Abruf 2026, Angabe: 130 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;26 Mio. EUR (aus 130 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;B;2 Begriffe mit 2 Fundstellen: Präzision (1), präzise (1).;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;B;1 Begriffe mit 5 Fundstellen: hybrid (5).;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;A;4 Begriffe mit 5 Fundstellen auf 4 Seiten: Energieeffizien (2), Energieverbrauch (1), energiesparend (1), energy-saving (1).;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;B;1 Begriffe mit 2 Fundstellen: Lieferant (2).;B;2 Begriffe mit 2 Fundstellen: Entwicklung (1), Konstruktion (1).
YIZUMI Germany GmbH;https://de.yizumi.com/;D;41;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 5 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen, Gummi- und Silikonmaschinen, Druckguss. Auf der Website 98 Fundstellen zu Kernbegriffen: Spritzgießmaschine (82), Spritzgießen (6), Silikon (4), LSR (4).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;52477 Alsdorf;Deutschland;Spritzgießmaschinen, Gummi- und Silikonmaschinen, Druckguss;9 (Recherche);2 (abgeleitet);Guangdong Yizumi Precision Machinery Co., Ltd. (China);Startliste, K-Zeitung, Fakuma 2026 Ausstellerliste;Die deutsche Yizumi-Website führt hydraulische, vollelektrische, Mehrkomponenten-, LSR-, PET- und Vertikal-Spritzgießmaschinen als eigenes Programm (https://de.yizumi.com/).;https://www.linkedin.com/company/yizumi-germany-gmbh;A;Kernprodukt laut Recherche: Spritzgießmaschinen, Gummi- und Silikonmaschinen, Druckguss. Auf der Website 98 Fundstellen zu Kernbegriffen: Spritzgießmaschine (82), Spritzgießen (6), Silikon (4), LSR (4).;B;Sitz 52477 Alsdorf, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;9 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/yizumi.html (Abruf 2026, Angabe: 9 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;1,8 Mio. EUR (aus 9 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;C;Schwacher Beleg, nur precision (4) auf 4 Seiten.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;B;2 Begriffe mit 8 Fundstellen: elektrische Spritzgieß (4), Kniehebel (4).;C;Schwacher Beleg, nur Produktivität (1) auf 4 Seiten.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;B;1 Begriffe mit 1 Fundstellen: Lieferant (1).;A;3 Begriffe mit 7 Fundstellen auf 4 Seiten: Innovation (5), F&E (1), Patent (1).
motan operations gmbh;https://www.motan-group.com/de/;D;38;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 4 mit D. Randbereich der Zielbranche laut Recherche: Dosier-, Trocknungs- und Fördergeräte für Spritzgießen.;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;88316 Isny im Allgäu;Deutschland;Dosier-, Trocknungs- und Fördergeräte für Spritzgießen;420 (Recherche);84 (abgeleitet);motan holding gmbh, Konstanz;VDMA Mitgliederliste;Motan entwickelt und fertigt Materialhandling-Systeme, Trocknungs-, Dosier- und Fördergeräte für die Kunststoffverarbeitung einschließlich Spritzgießen (https://www.motan-group.com/de/).;nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Dosier-, Trocknungs- und Fördergeräte für Spritzgießen.;B;Sitz 88316 Isny im Allgäu, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;C;420 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/motan-operations.html (Abruf 2026, Angabe: 420 Mitarbeiter in Deutschland)), unter dem ICP-Band 1.001 bis 10.000.;D;84 Mio. EUR (aus 420 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Produktionsstandort (1) auf 6 Seiten.;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Nachhaltigkeit (2) auf 6 Seiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;A;3 Begriffe mit 4 Fundstellen auf 6 Seiten: Lieferant (2), Supply Chain (1), Verhaltenskodex (1).;A;2 Begriffe mit 11 Fundstellen auf 6 Seiten: Innovation (8), Entwicklung (3).
